time,Istanbul_anadolu_tavg,Istanbul_anadolu_tmin,Istanbul_anadolu_tmax,Istanbul_avrupa_tavg,Istanbul_avrupa_tmin,Istanbul_avrupa_tmax,Bursa_tavg,Bursa_tmin,Bursa_tmax
2023-01-01,7.5,4.2,13.7,9.1,7.0,12.0,6.1,0.5,15.4
2023-01-02,6.4,2.7,14.0,7.9,4.6,11.1,5.7,0.6,15.5
2023-01-03,6.4,1.0,13.0,8.5,4.9,11.0,4.9,-2.1,17.2
2023-01-04,8.8,6.6,11.0,9.5,6.6,11.0,5.3,-1.8,12.5
2023-01-05,8.9,6.1,13.0,10.7,9.0,13.0,5.9,0.9,13.7
2023-01-06,9.5,5.4,13.0,11.1,10.0,13.0,5.8,0.4,13.8
2023-01-07,6.5,3.5,11.4,9.2,6.5,12.0,5.4,0.0,12.6
2023-01-08,5.4,1.3,11.2,8.3,4.8,12.0,4.8,0.5,10.9
2023-01-09,5.8,-1.0,12.0,8.2,4.0,11.0,5.9,2.7,10.9
2023-01-10,9.7,5.0,15.0,11.3,9.0,14.0,9.2,4.3,13.9
2023-01-11,10.9,9.3,14.0,11.9,11.0,13.0,9.8,8.5,11.1
2023-01-12,9.3,4.6,14.0,10.4,8.0,14.0,9.7,6.7,13.0
2023-01-13,8.9,7.3,11.0,8.9,7.5,11.0,10.2,9.2,12.0
2023-01-14,8.3,6.5,10.2,10.1,9.0,11.0,8.7,5.4,12.7
2023-01-15,7.8,6.1,9.8,9.6,8.0,12.0,8.9,5.5,13.2
2023-01-16,6.7,2.0,12.0,8.9,6.0,11.2,6.5,2.1,13.0
2023-01-17,12.1,7.1,16.0,13.0,11.0,15.0,14.3,4.3,18.9
2023-01-18,15.3,12.2,19.0,15.1,13.8,17.0,18.7,17.2,22.0
2023-01-19,14.3,10.1,20.0,15.5,14.0,18.0,17.4,10.1,22.7
2023-01-20,12.6,5.0,20.0,13.0,8.7,18.0,11.5,5.1,22.1
2023-01-21,11.4,7.3,16.3,13.1,11.0,17.0,11.3,4.6,17.8
2023-01-22,10.8,7.4,16.6,12.4,8.9,17.0,10.1,4.9,18.6
2023-01-23,8.5,6.5,11.0,10.3,9.7,11.5,8.1,2.2,14.8
2023-01-24,7.2,6.0,9.0,8.4,6.0,10.0,8.7,6.2,10.4
2023-01-25,5.3,4.3,6.2,5.6,4.0,7.0,6.6,4.3,9.7
2023-01-26,7.1,3.6,11.0,8.4,5.1,11.2,7.3,1.4,13.9
2023-01-27,10.4,7.4,13.0,11.3,9.0,14.0,10.6,6.4,14.9
2023-01-28,6.7,4.0,8.5,7.4,4.0,11.0,7.9,5.6,11.7
2023-01-29,3.4,1.8,4.9,4.2,3.0,5.2,4.5,3.9,5.6
2023-01-30,2.9,1.2,4.4,3.7,2.8,5.0,4.1,2.7,6.6
2023-01-31,1.9,-3.0,5.0,3.2,0.9,7.0,3.1,1.1,5.4
2023-02-01,3.3,1.1,7.0,4.1,0.0,8.0,2.9,0.3,6.3
2023-02-02,6.3,3.0,9.0,8.5,7.6,10.0,4.1,-1.3,10.4
2023-02-03,4.3,1.0,7.4,5.6,3.0,8.4,3.2,0.2,6.3
2023-02-04,3.8,0.7,6.3,5.6,3.5,6.2,0.8,-1.8,3.7
2023-02-05,2.4,1.2,3.8,3.3,0.6,5.8,2.3,0.9,4.6
2023-02-06,2.4,0.9,4.0,2.2,0.0,4.5,1.6,0.3,3.3
2023-02-07,0.4,-0.2,1.7,1.8,0.0,3.2,0.8,-0.2,2.8
2023-02-08,0.4,-1.0,2.0,1.1,-1.0,3.0,0.1,-1.4,1.7
2023-02-09,2.1,1.3,4.0,3.9,2.0,6.0,1.6,0.0,3.7
2023-02-10,2.3,0.3,4.0,4.5,3.0,7.0,2.9,0.5,6.1
2023-02-11,2.4,-1.5,5.2,4.3,2.0,7.0,3.8,-1.8,7.7
2023-02-12,1.1,-2.8,6.5,3.4,-0.2,7.0,1.3,-4.4,7.9
2023-02-13,3.8,-0.8,8.0,5.7,3.0,8.0,4.0,-0.4,9.1
2023-02-14,2.2,-2.3,9.0,4.4,0.7,8.1,1.8,-4.1,8.8
2023-02-15,3.6,0.6,6.0,5.8,3.0,8.0,3.5,0.6,6.4
2023-02-16,3.6,0.0,8.0,5.4,1.4,8.0,3.6,-1.5,9.0
2023-02-17,6.4,1.2,12.0,8.5,6.5,11.0,5.2,-2.6,14.3
2023-02-18,9.7,6.9,12.9,10.4,8.0,13.1,9.6,-0.2,17.6
2023-02-19,11.4,9.6,14.7,11.8,10.0,15.0,16.2,12.7,20.5
2023-02-20,9.2,3.5,13.0,10.5,7.0,14.0,10.1,4.8,14.3
2023-02-21,9.3,3.6,15.0,9.8,5.8,14.0,10.4,1.0,19.8
2023-02-22,11.0,7.5,16.0,10.7,8.9,14.0,10.9,2.8,19.5
2023-02-23,8.2,4.8,16.0,10.0,6.6,14.0,9.6,2.6,18.6
2023-02-24,7.3,2.0,14.0,8.1,6.0,10.0,8.3,2.4,16.0
2023-02-25,11.8,6.9,16.3,11.2,7.0,15.2,13.1,4.6,20.3
2023-02-26,13.7,9.2,18.5,14.3,12.0,17.1,16.9,11.7,21.9
2023-02-27,15.2,10.6,21.0,15.9,13.0,19.0,17.2,13.7,24.1
